UserID,Uclass,Age,Sex,Estate,HousingPrice,MeanPrice,HousingRate,January,Feburary,March,April,May,June,July,August,September,October,November,December,ComplaintTime
4862882,1,,,龙凤矿前996,996,3609,1,25.87,13.99,44.88,17.51,50.49,23.2,35.04,30.34,34.99,62.09,67.26,76.2,7
7014079565,3,,男,歌洋馨雨园2857,2857,6993,1,538.54,487.8,681.23,399.95,643.59,377.26,632.57,762.89,496.96,952.52,1222.63,832.06,10
8129684750,1,44,男,盛和林业小区1800,1800,4321,1,190.32,269.87,141.82,140.31,115.33,122.3,87.37,90.93,95.65,165.46,114.03,110.26,10
7567652967,2,,,丰乐家园4570,4570,9352,1,224.04,213.66,230.2,205.38,206.96,154.13,212.67,203.71,219.21,296.97,261.27,318.43,11
4616014,1,,,油机小区1805,1805,3609,1,3.87,1.26,14.32,645.88,1107.74,638.75,871.25,795.7,685.31,705.92,714.57,927.98,10
4618485,1,,,油机小区1805,1805,3609,1,202.28,238.82,201.35,159.08,135.35,116.04,112.38,103.68,103.78,165.54,155.59,183,11
8624103897,1,46,男,山水俪城小区3039,3039,6057,1,185.24,220.5,221.36,206.22,171.91,159.97,175.7,157.7,154.23,162.32,146,134.13,10
6820250364,3,69,男,金穗馨城3246,3246,6160,1,346.52,138.58,14.18,0.07,0,0.01,0.02,237.3,183.25,357.75,313.22,422.77,10
261152858,1,,,向工小区5659,5659,10693,1,350.03,293.65,250.47,210.37,184.77,132.32,131.93,120.84,109.19,139.81,178.94,376.39,11
308840256,3,,,南岭9599,9599,17589,1,1336.21,698.3,1208.87,1470.6,1605.9,1618.59,1596.26,1488.89,1399.65,1345.19,1365.95,1616.77,9
111236350,1,,,云翔小区1912,1912,3454,1,644.83,392.3,133.94,74.5,64.17,59.04,67.61,109.62,59.84,66.75,69.84,75.47,11
111583427,1,,,地税小区2323,2323,4185,1,5,4.66,5.03,4.83,4.99,4.35,4.36,4.43,4.23,4.4,4.29,4.52,10
253867157,4,,,桃园小区5296,5296,9371,1,10241.7,5732.7,7664.7,7503.9,6552.3,14199.9,15078,20457.9,10451.4,12603.6,10603.8,15864.3,4
753104230,1,62,女,凌钢东区2891,2891,5094,1,50.65,71.68,61.88,60.98,69.85,36.68,26.34,22.84,5.77,15.19,30.43,91.96,11
8260546838,1,53,男,市政2432,2432,4246,1,1.34,0.69,16.93,25.3,111.33,104.9,138.03,138.77,104.55,132.19,124.12,132.57,8
259442271,1,,,钢花小区5430,5430,9420,1,0,0,33.12,99.99,50.83,0,0,0,103.26,71.43,22.66,75.03,8
8001213782,1,56,女,协和一期8678,8678,14548,1,358.38,0,4.29,15.18,48.59,168.6,217.94,136.57,86.46,242.11,398.82,547.49,11
8001215573,1,53,男,协和一期8678,8678,14548,1,311.39,0,0.02,47.3,35.09,173.51,331.08,317.89,170.57,176.29,421.41,292.16,12
8001216127,1,37,男,协和一期8678,8678,14548,1,334.54,3.84,132.42,32.93,95.94,191.05,307.24,248.28,154.07,197.41,227.19,362.61,11
8001219937,1,52,男,协和一期8678,8678,14548,1,462.83,0,0,244.38,144.41,305.93,221.87,213.98,134.35,315.25,536.95,829.49,11
51388573,1,,,银杏家园小区4357,4357,7253,2,185.3,170.72,191.43,247.28,154.29,129.85,162.9,163.15,157.62,227.53,174.55,208.38,4
196271055,1,,,海河小区2337,2337,3890,2,109.08,117.74,109.15,107.25,108.63,99.37,112.72,110.86,100.41,107.06,102.09,97.64,8
4790336,1,,,搭连小区2173,2173,3609,2,409.96,373.1,365.42,290.1,239.32,224.26,177.42,175.33,197.12,264.36,297.98,355.59,7
4795041,3,,,搭连小区2173,2173,3609,2,516.71,466.47,491.3,499.15,628.34,789.34,957.32,951.79,680.32,555.14,566.41,1394.03,5
250808425,1,,,世博小区5769,5769,9420,2,45.78,33.97,0,23.68,85.07,118.82,166.31,159.51,121.66,153.5,146.51,169.3,10
250959703,1,,,世博小区5769,5769,9420,2,187.45,207.37,222.5,159.74,145.02,141.99,179.95,120.46,2.99,122.32,201.22,244.07,8
711035963,2,,,天龙家园3357,3357,5452,2,115.38,108.15,118.98,126.57,96.23,96.3,114.67,124.06,77.6,109.49,150.23,336.52,11
8086758033,2,57,男,滨海丰园9356,9356,15177,2,267.22,254.16,236.42,217.74,198.33,172.53,169.67,151.94,147.38,186.54,198.04,208.14,5
271484921,1,65,男,新华社7594,7594,12272,2,10.9,10.58,14.17,15.13,17.84,20.24,22.38,27.39,19.91,17.8,15.42,12.83,5
8443227448,1,62,女,沈飞小区6620,6620,10693,2,159.68,162.21,105.56,76.26,169.3,166.86,141.84,124.03,133.67,174.77,164.01,160.76,9
262962115,1,,,富裕小区6642,6642,10693,2,192.28,175.73,157.1,147.18,138.4,149.65,154.79,166.02,118.57,150.06,150.44,183.09,1
8118362805,1,64,男,秀水花城4406,4406,6993,2,139.19,107.87,159.51,95.67,146.07,171.21,227.63,334,205.04,233.02,222.58,312.69,11
732510406,2,,,中科新天地小区3657,3657,5749,2,340.91,445.17,332.91,294.99,216.38,260.59,347.08,325.44,187.4,260.4,257.87,140.05,9
8003973664,1,60,男,华阳E区4153,4153,6500,2,49.63,29.6,48.28,205.79,208.35,143.51,235.89,231.58,117.28,111.47,7.89,48.07,11
258953022,1,,,二台子小区6057,6057,9420,2,132.55,112.23,131.55,98.16,93.53,89.19,64.95,85.12,81.81,90.41,94.64,120.21,10
262421083,1,,,永泰小区6897,6897,10693,2,64.52,49.22,65.44,77.93,25.33,116.94,67.78,192.9,128.39,119.85,166.07,114.12,11
231758712,1,47,男,北安小区3500,3500,5404,2,70.65,83.81,95.09,77.89,87.45,83.33,110.89,108.38,82.75,77.1,81.12,89.54,8
171532300,3,,,彩进小区4244,4244,6500,2,3548.4,1766.47,2678.9,3217.59,3468.04,4404.85,4693.82,4745.38,3587.92,4842.78,3568.87,3966.11,11
314556763,3,,,高家沟小区13515,13515,20693,2,654.79,590.31,442.91,444.8,153.66,284.43,423.28,489.66,203.16,159.16,250.86,531.53,11
8554214010,1,33,男,南园小区3512,3512,5352,2,240.16,252.88,236.7,105.06,73.07,172.32,73.84,175.31,179.26,272.4,223.07,246.11,9
8036518520,1,,,今日家园小区3000,3000,4543,2,183.98,141.75,135.65,128.04,123,143.93,225.24,255.07,110.04,94.76,109.58,114.33,8
260210919,1,,,新乐小区7080,7080,10693,2,110.76,117.63,109.85,111.08,109.99,108.09,161.7,185.19,81.4,32.13,18.33,17.45,6
7850170916,1,,,福宁小区5357,5357,8063,2,224.46,259.22,234.15,170.57,116.62,118.18,154.6,0,0,166.84,124.15,137.52,8
51112569,4,,,开发区C区5092,5092,7564,2,1649.37,1405.38,1221.61,1674.34,1717.23,1436.09,2079.02,1553.69,1604.17,4233.08,2555.04,3261.22,10
265625576,1,,,重工新村小区6808,6808,10024,2,110.42,14.89,86.26,216.41,97,0.85,0.03,0.04,0.01,27.82,230.77,476.21,11
8073182555,1,50,男,和谐家园小区2891,2891,4246,2,0,0,0,265.64,221.21,138.23,143.38,114.65,172.82,279.9,215.14,145.67,3
70466081,1,58,女,互助里小区3103,3103,4543,2,927.14,438.14,678.32,726.11,814.99,1190.63,1715.5,1810.51,1112.27,844.63,789.92,957.12,5
253803380,3,38,女,德增小区6520,6520,9420,2,668.1,735.45,959.25,1021.8,920.85,1030.95,1383.3,1033.95,698.1,700.35,794.55,1023.45,10
190965673,3,,,市北安居小区2811,2811,4053,2,237.59,185.65,234.55,236.81,299.02,390.43,412.42,413.58,339.94,254.26,247.56,224.75,9
263666470,1,,,环际花园7427,7427,10693,2,422.45,346.29,318.66,289.26,247.8,269.59,320.2,272.01,208.59,264.53,254.03,305.6,10
231681939,1,,,连山小区3771,3771,5404,2,1.26,71.05,108.29,68.26,40.82,43.92,57.28,72.89,67.9,61.13,42,143.29,2
268235174,1,,,人民里小区7030,7030,10024,3,153.13,107.56,129.89,124.66,127.26,177.53,276.22,270.38,119.67,105.16,104.52,110.23,5
268443104,1,,,人民里小区7030,7030,10024,3,217.66,17.3,16.48,10.23,12.01,10.63,10.66,10.33,9.09,6.52,6.42,7.88,3
232042595,4,57,女,化工小区3847,3847,5452,3,60.19,2.3,3.37,5.73,8.51,10.87,11.82,4.29,6.47,4.93,4.05,2.01,7
232639506,3,55,男,化工小区3847,3847,5452,3,65.87,60.86,85.89,891.56,1589.51,2260.57,2417.31,2154.97,1843.9,1532.55,1416.83,1214.43,10
8094593721,1,32,女,化工小区3847,3847,5452,3,85.78,67.8,77.67,57.85,46.41,49.28,47.18,48.39,47.18,55.22,55.5,71.75,11
7480570870,2,,,丽锦城4号台区6804,6804,9611,3,246.74,237.59,279.76,353.85,217.62,174.09,224.45,233.94,169.23,227.72,231.64,300.83,10
7480572834,2,,,丽锦城10号台区6804,6804,9611,3,140.05,155.93,165.3,149.14,141.62,134.33,151.81,125.64,116.2,142,145.31,163.48,11
7480574478,2,,,丽锦城6号台区6804,6804,9611,3,133.67,187.79,182.36,126.42,103.48,123.99,117.63,100.43,91.27,135.55,124.29,146.17,11
7480574801,2,,,丽锦城6号台区6804,6804,9611,3,353.9,436.16,398.06,398.06,359.22,331.48,347.73,373.73,333.97,406.38,381.79,439.75,10
7480577448,2,,,丽锦城7号台区6804,6804,9611,3,302.28,421.13,413.98,404.68,351.49,273.58,277.1,273.58,223.67,229.59,242.16,207.51,11
7480579200,2,,,丽锦城10号台区6804,6804,9611,3,0,0,10.72,27.45,14.73,3.64,5.6,1.97,116.61,109.84,129.88,196.63,11
7480580419,2,,,丽锦城9号台区6804,6804,9611,3,1.03,3.42,387.4,471.35,325.23,269.52,293.67,281.86,253.66,303.69,241.64,357.7,12
7480580608,2,,,丽锦城9号台区6804,6804,9611,3,156.37,245.48,265.54,145.26,2.34,4.62,39.41,114.42,109.44,165.44,227.78,254.53,11
7480581731,2,,,丽锦城9号台区6804,6804,9611,3,288.69,284.25,234.36,256.63,154.62,313.98,176.28,162.05,206.77,214.64,216.82,288.83,12
7480582965,2,,,丽锦城10号台区6804,6804,9611,3,167.96,203.31,199.35,144.06,138.95,139.93,240.27,188.27,105.88,153.48,142.28,193.4,11
7480584714,2,36,男,丽锦城10号台区6804,6804,9611,3,143.56,158.65,162.32,166.18,158.78,163.2,235.74,279.11,141.25,163.2,145.43,148.89,10
7480585195,2,30,男,丽锦城10号台区6804,6804,9611,3,171.15,123.7,109.35,45.22,101.78,23.44,77.36,200.6,205.35,259.87,250.2,275.28,11
849249,1,,,南阳北区3829,3829,5355,3,143.48,150.88,141.77,143.26,151.42,148.31,169.99,135.14,131.84,140.39,133.9,152.03,8
849513,1,,,南阳北区3829,3829,5355,3,191.87,161.27,160.2,165.66,152.89,136.98,105.15,87.37,90.92,136.62,162.18,182.75,8
